fpl_player_id,understat_id
52775,3387
221389,14017
225897,5803
431248,12721
515046,14425
536661,14424
551206,14281
606689,14217
619734,14584
653481,14446
480457,14747
230730,14745
173878,14743
226965,14746
451284,14742
661888,14744
101282,14761
193278,14759
232905,14764
243413,14762
244860,14769
442967,14772
445087,8091
451490,14854
463726,13456
470551,14874
473284,14758
483067,14859
487992,8872
501390,14771
513545,13917
540324,14760
543968,14082
557012,14773
570794,14770
572584,10485
597462,14765
606930,12286
608227,14763
611695,14856
636852,14875
700308,14855
